data_sinal,prob_alta_proximo_pregao,real_alta_proximo_pregao,acertou,confianca
2017-09-12,0.480755,1,0,neutra
2017-09-13,0.537922,0,0,neutra
2017-09-14,0.53275,1,1,neutra
2017-09-15,0.469171,1,0,neutra
2017-09-18,0.453251,0,1,neutra
2017-09-19,0.472878,1,0,neutra
2017-09-20,0.615774,0,0,alta
2017-09-21,0.569396,0,0,neutra
2017-09-22,0.542889,0,0,neutra
2017-09-25,0.446673,0,1,neutra
2017-09-26,0.525984,0,0,neutra
2017-09-27,0.45598,0,1,neutra
2017-09-28,0.500093,1,1,neutra
2017-09-29,0.414583,1,0,neutra
2017-10-02,0.574963,1,1,neutra
2017-10-03,0.478726,0,1,neutra
2017-10-04,0.603554,1,1,alta
2017-10-05,0.544402,0,0,neutra
2017-10-06,0.624788,0,0,alta
2017-10-09,0.525485,1,1,neutra
2017-10-10,0.426719,0,1,neutra
2017-10-11,0.550359,0,0,neutra
2017-10-13,0.567896,0,0,neutra
2017-10-16,0.447164,0,1,neutra
2017-10-17,0.540333,1,1,neutra
2017-10-18,0.497264,0,1,neutra
2017-10-19,0.610826,1,1,alta
2017-10-20,0.401958,0,1,neutra
2017-10-23,0.466584,1,0,neutra
2017-10-24,0.370996,1,0,alta
2017-10-25,0.605941,0,0,alta
2017-10-26,0.480548,1,0,neutra
2017-10-27,0.511306,0,0,neutra
2017-10-30,0.539488,0,0,neutra
2017-10-31,0.518288,0,0,neutra
2017-11-01,0.478481,0,1,neutra
2017-11-03,0.444279,1,0,neutra
2017-11-06,0.450097,0,1,neutra
2017-11-07,0.627104,1,1,alta
2017-11-08,0.558664,0,0,neutra
2017-11-09,0.698662,0,0,alta
2017-11-10,0.645628,1,1,alta
2017-11-13,0.635171,0,0,alta
2017-11-14,0.731794,0,0,alta
2017-11-16,0.590921,1,1,neutra
2017-11-17,0.503993,0,0,neutra
2017-11-21,0.4933,0,1,neutra
2017-11-22,0.476258,0,1,neutra
2017-11-23,0.602266,0,0,alta
2017-11-24,0.549486,0,0,neutra
2017-11-27,0.547562,1,1,neutra
2017-11-28,0.464472,0,1,neutra
2017-11-29,0.527602,0,0,neutra
2017-11-30,0.315834,1,0,alta
2017-12-01,0.518623,1,1,neutra
2017-12-04,0.567418,0,0,neutra
2017-12-05,0.701539,1,1,alta
2017-12-06,0.763265,0,0,alta
2017-12-07,0.509883,1,1,neutra
2017-12-08,0.368633,1,0,alta
2017-12-11,0.438829,1,0,neutra
2017-12-12,0.528426,0,0,neutra
2017-12-13,0.491927,0,1,neutra
2017-12-14,0.574208,1,1,neutra
2017-12-15,0.57431,1,1,neutra
2017-12-18,0.392829,0,1,alta
2017-12-19,0.53915,1,1,neutra
2017-12-20,0.518462,1,1,neutra
2017-12-21,0.400284,1,0,neutra
2017-12-22,0.528116,0,0,neutra
2017-12-26,0.572185,1,1,neutra
2017-12-27,0.515053,1,1,neutra
2017-12-28,0.506743,0,0,neutra
2017-12-29,0.470998,0,1,neutra
2018-01-02,0.504815,1,1,neutra
2018-01-03,0.535574,1,1,neutra
2018-01-04,0.35864,1,0,alta
2018-01-05,0.399928,1,0,alta
2018-01-08,0.469764,0,1,neutra
2018-01-09,0.464686,0,1,neutra
2018-01-10,0.603453,1,1,alta
2018-01-11,0.423658,0,1,neutra
2018-01-12,0.333224,1,0,alta
2018-01-15,0.521399,1,1,neutra
2018-01-16,0.463863,1,0,neutra
2018-01-17,0.406146,0,1,neutra
2018-01-18,0.551396,1,1,neutra
2018-01-19,0.600167,1,1,alta
2018-01-22,0.447899,0,1,neutra
2018-01-23,0.460899,1,0,neutra
2018-01-24,0.341758,0,1,alta
2018-01-26,0.4636,0,1,neutra
2018-01-29,0.454904,0,1,neutra
2018-01-30,0.707156,1,1,alta
2018-01-31,0.628459,1,1,alta
2018-02-01,0.458871,0,1,neutra
2018-02-02,0.65813,0,0,alta
2018-02-05,0.052918,1,0,alta
2018-02-06,0.60173,0,0,alta
2018-02-07,0.830013,0,0,alta
2018-02-08,0.785191,0,0,alta
2018-02-09,0.703885,0,0,alta
2018-02-14,0.515477,1,1,neutra
2018-02-15,0.34612,1,0,alta
2018-02-16,0.501089,1,1,neutra
2018-02-19,0.482403,1,0,neutra
2018-02-20,0.476019,1,0,neutra
2018-02-21,0.552302,1,1,neutra
2018-02-22,0.524116,1,1,neutra
2018-02-23,0.428676,1,0,neutra
2018-02-26,0.500289,0,0,neutra
2018-02-27,0.620854,0,0,alta
2018-02-28,0.679605,0,0,alta
2018-03-01,0.542614,1,1,neutra
2018-03-02,0.53261,1,1,neutra
2018-03-05,0.508468,0,0,neutra
2018-03-06,0.557823,0,0,neutra
2018-03-07,0.604205,0,0,alta
2018-03-08,0.555927,1,1,neutra
2018-03-09,0.386744,1,0,alta
2018-03-12,0.487273,0,1,neutra
2018-03-13,0.570236,0,0,neutra
2018-03-14,0.565227,0,0,neutra
2018-03-15,0.600503,0,0,alta
2018-03-16,0.521662,0,0,neutra
2018-03-19,0.545278,1,1,neutra
2018-03-20,0.500953,1,1,neutra
2018-03-21,0.497511,0,1,neutra
2018-03-22,0.530952,0,0,neutra
2018-03-23,0.576668,1,1,neutra
2018-03-26,0.467526,0,1,neutra
2018-03-27,0.640684,1,1,alta
2018-03-28,0.602446,1,1,alta
2018-03-29,0.462867,0,1,neutra
2018-04-02,0.542369,0,0,neutra
2018-04-03,0.484941,0,1,neutra
2018-04-04,0.486994,1,0,neutra
2018-04-05,0.486488,0,1,neutra
2018-04-06,0.617557,0,0,alta
2018-04-09,0.49123,1,0,neutra
2018-04-10,0.357248,1,0,alta
2018-04-11,0.531253,1,1,neutra
2018-04-12,0.525674,0,0,neutra
2018-04-13,0.594583,0,0,neutra
2018-04-16,0.592829,1,1,neutra
2018-04-17,0.45202,1,0,neutra
2018-04-18,0.42184,1,0,neutra
2018-04-19,0.533185,0,0,neutra
2018-04-20,0.550431,1,1,neutra
2018-04-23,0.523217,0,0,neutra
2018-04-24,0.528337,0,0,neutra
2018-04-25,0.560552,1,1,neutra
2018-04-26,0.467298,1,0,neutra
2018-04-27,0.527071,0,0,neutra
2018-04-30,0.516218,0,0,neutra
2018-05-02,0.508408,0,0,neutra
2018-05-03,0.616571,0,0,alta
2018-05-04,0.572649,0,0,neutra
2018-05-07,0.507394,1,1,neutra
2018-05-08,0.513135,1,1,neutra
2018-05-09,0.437906,1,0,neutra
2018-05-10,0.43544,0,1,neutra
2018-05-11,0.518513,1,1,neutra
2018-05-14,0.464606,0,1,neutra
2018-05-15,0.490651,1,0,neutra
2018-05-16,0.45726,0,1,neutra
2018-05-17,0.633076,0,0,alta
2018-05-18,0.525652,0,0,neutra
2018-05-21,0.583367,1,1,neutra
2018-05-22,0.544899,0,0,neutra
2018-05-23,0.683864,0,0,alta
2018-05-24,0.577098,0,0,neutra
2018-05-25,0.576904,0,0,neutra
2018-05-28,0.744133,1,1,alta
2018-05-29,0.457209,1,0,neutra
2018-05-30,0.512314,0,0,neutra
2018-06-01,0.535885,1,1,neutra
2018-06-04,0.435798,0,1,neutra
2018-06-05,0.59488,0,0,neutra
2018-06-06,0.500647,0,0,neutra
2018-06-07,0.52746,0,0,neutra
2018-06-08,0.710313,0,0,alta
2018-06-11,0.601233,1,1,alta
2018-06-12,0.529711,0,0,neutra
2018-06-13,0.525838,0,0,neutra
2018-06-14,0.533691,0,0,neutra
2018-06-15,0.54382,0,0,neutra
2018-06-18,0.563982,1,1,neutra
2018-06-19,0.425683,1,0,neutra
2018-06-20,0.408405,0,1,neutra
2018-06-21,0.540512,1,1,neutra
2018-06-22,0.425043,1,0,neutra
2018-06-25,0.485076,1,0,neutra
2018-06-26,0.509089,0,0,neutra
2018-06-27,0.480204,1,0,neutra
2018-06-28,0.489347,1,0,neutra
2018-06-29,0.409505,1,0,neutra
2018-07-02,0.53612,1,1,neutra
2018-07-03,0.487207,1,0,neutra
2018-07-04,0.499356,0,1,neutra
2018-07-05,0.528339,1,1,neutra
2018-07-06,0.521263,0,0,neutra
2018-07-10,0.520853,0,0,neutra
2018-07-11,0.592082,1,1,neutra
2018-07-12,0.404396,1,0,neutra
2018-07-13,0.49006,1,0,neutra
2018-07-16,0.514923,1,1,neutra
2018-07-17,0.527035,0,0,neutra
2018-07-18,0.534367,1,1,neutra
2018-07-19,0.557833,1,1,neutra
2018-07-20,0.493417,0,1,neutra
2018-07-23,0.586743,1,1,neutra
2018-07-24,0.432038,1,0,neutra
2018-07-25,0.511221,0,0,neutra
2018-07-26,0.563911,1,1,neutra
2018-07-27,0.510073,1,1,neutra
2018-07-30,0.533258,0,0,neutra
2018-07-31,0.544332,1,1,neutra
2018-08-01,0.544486,1,1,neutra
2018-08-02,0.590503,1,1,neutra
2018-08-03,0.478772,0,1,neutra
2018-08-06,0.569902,0,0,neutra
2018-08-07,0.487007,0,1,neutra
2018-08-08,0.565922,0,0,neutra
2018-08-09,0.508247,0,0,neutra
2018-08-10,0.618193,1,1,alta
2018-08-13,0.49639,1,0,neutra
2018-08-14,0.50163,0,0,neutra
2018-08-15,0.64148,0,0,alta
2018-08-16,0.485623,0,1,neutra
2018-08-17,0.497831,1,0,neutra
2018-08-20,0.451667,0,1,neutra
2018-08-21,0.445961,1,0,neutra
2018-08-22,0.424151,0,1,neutra
2018-08-23,0.553551,1,1,neutra
2018-08-24,0.418999,1,0,neutra
2018-08-27,0.387314,0,1,alta
2018-08-28,0.494748,1,0,neutra
